ID;Ultima manutenção;REGIAO;DISTRITO;BAIRRO;TIPO;END;ULTIMAVISTORIA;VAZAO;SITUACAO;LAT;LONG;PROCESSO2014;DATAEXTRACAO;SABESP_POLOMANUT;SABESP_UGR;SABESP_UN
4390;01/08/2022;SUL;VILA ANDRADE;VILA SUZANA;COLUNA;RUA DOUTOR LUIZ MIGLIANO 130 PROXIMO A RUA MAXIMO MACIEL;2021-12-28;;NÃO LOCALIZADO;-23.6183562979165;-46.7431208051209;0;2022-07-28;PIRAJUSSARA;BUTANTÃ;OESTE
5381;01/08/2022;OESTE;RIO PEQUENO;JARDIM ESTER YOLANDA;SUBTERRANEO;AVENIDA DO RIO PEQUENO ESQUINA COM A RUA DESEMBARGADOR HOMERO PINHO;2022-06-26;EXCELENTE;POSSIVEL DE USO;-23.5710780344458;-46.7599693948254;0;2022-07-28;BUTANTA;BUTANTÃ;OESTE
5603;01/08/2022;SUL;VILA MARIANA;RODRIGUES ALVES;COLUNA;LARGO DONA ANA ROSA METRO ANAROSA;2022-02-04;SECO;INOPERANTE;-23.5815043870259;-46.6386860301136;1;2022-07-28;LAPA;JARDINS;CENTRO
5644;01/08/2022;LESTE;SÃO RAFAEL;PARQUE SÃO RAFAEL;COLUNA;RUA MARTINS LOPES LOBO 109 PROXIMO DA ESQUINA DA RUA M;2022-04-22;MÉDIA;INOPERANTE;-23.6244771377542;-46.4481520570677;0;2022-07-28;SÃO MATEUS;SÃO MATEUS;CENTRO
6653;01/08/2022;OESTE;JAGUARÉ;JAGUARÉ;COLUNA;RUA ALEXANDRE CALAME 740;2022-04-14;EXCELENTE;POSSIVEL DE USO;-23.5538399174542;-46.7390681179052;0;2022-07-28;BUTANTA;BUTANTÃ;OESTE
6660;01/08/2022;OESTE;VILA LEOPOLDINA;CEASA;COLUNA;NO INTERIOR DO CEAGESP NO ENTORNO DO PREDIO LEA LOJAS ESCRITORIOS E ADMINISTRACAO;2021-12-29;EXCELENTE;POSSIVEL DE USO;-23.5341846018307;-46.7359640463016;0;2022-07-28;LAPA;JARDINS;CENTRO
6720;01/08/2022;SUL;CAMPO LIMPO;PARQUE ARARIBA;COLUNA;RUA JORDAO GOUVEA 309 NO INTERIOR DO CONDOMINIO VILA DELLA CITTA;2022-03-27;SECO;INOPERANTE;-23.6420170310088;-46.7579596691042;1;2022-07-28;PIRAJUSSARA;BUTANTÃ;OESTE
6745;01/08/2022;OESTE;VILA LEOPOLDINA;CEASA;SUBTERRANEO;NO INTERIOR DO CEAGESP AO LADO DA QUADRA DO PAVILHAO MLP LOCAL DE RECICLAGEM E DESCARTE;2022-03-13;SECO;INOPERANTE;-23.5387707721524;-46.7395044574533;0;2022-07-28;LAPA;JARDINS;CENTRO
6746;01/08/2022;OESTE;VILA LEOPOLDINA;CEASA;COLUNA;NO INTERIOR DO CEAGESP NA CALCADA DO PREDIO FAP;2022-04-05;EXCELENTE;POSSIVEL DE USO;-23.5390055245688;-46.7378576992437;0;2022-07-28;LAPA;JARDINS;CENTRO
6751;01/08/2022;OESTE;VILA LEOPOLDINA;CEASA;COLUNA;NO INTERIOR DA CEAGESP NA CALCADA DO PAVILHAO BPD;2022-05-08;SECO;INOPERANTE;-23.5377940385775;-46.7357232260098;0;2022-07-28;LAPA;JARDINS;CENTRO
